epoch,categorical_accuracy,loss,top_5_categorical_accuracy,val_categorical_accuracy,val_loss,val_top_5_categorical_accuracy
0,0.04338925,4.49481939926218,0.13979329,0.12182875,4.0492182730620305,0.30344874
1,0.123596616,4.0963001408675845,0.29162264,0.17263478,3.5886185355720763,0.41351745
2,0.18125083,3.7442798027194266,0.38784507,0.20626321,3.377983244982633,0.46042547
3,0.21886145,3.4912045220531382,0.44609365,0.22377114,3.3449122452080626,0.4828885
4,0.24626866,3.3077772851192466,0.49086976,0.24544133,3.2474211623250304,0.5199524
5,0.2673689,3.176832391916249,0.5186402,0.2469609,3.2804527585148557,0.53276956
6,0.28462225,3.068858845673847,0.5448422,0.26810253,3.189853124336259,0.5549683
7,0.2971371,2.9886460230886156,0.56089026,0.28600687,3.127074836424491,0.5754493
8,0.31090674,2.9281950126376373,0.5745113,0.2765592,3.257565242795561,0.564416
9,0.3189473,2.877220117940312,0.58633274,0.28528014,3.2046333281736796,0.58119714
10,0.32617885,2.8253227310283955,0.5981376,0.30325052,3.1169478258169225,0.59467494
11,0.33595297,2.7905728641581056,0.6030082,0.29915434,3.1875360407738556,0.58872885
12,0.342326,2.7501270666161486,0.6134262,0.31117865,3.096074685233844,0.6053118
13,0.3501354,2.7142527992100907,0.6199148,0.31606767,3.104850775595699,0.61039907
14,0.35343745,2.701337057160758,0.6237617,0.31441596,3.1193215809211168,0.6098705
