epoch,categorical_accuracy,loss,top_2_categorical_accuracy,val_categorical_accuracy,val_loss,val_top_2_categorical_accuracy
0,0.5851667,1.2220263329148293,0.754,0.6753333,0.9492770910263062,0.8193333
1,0.6738333,0.9635355126857758,0.8283333,0.7546667,0.7493252426385879,0.88266665
2,0.70783335,0.8375754496455192,0.8545,0.76133335,0.7000948423147202,0.894
3,0.73983335,0.7677301867306232,0.8735,0.78,0.671772974729538,0.9073333
4,0.7685,0.6900287703424692,0.89316666,0.7926667,0.63593601167202,0.902
5,0.79066664,0.6336315297335386,0.90716666,0.81,0.62449123442173,0.9206667
6,0.8045,0.5875022181868553,0.9148333,0.754,0.773555902838707,0.89066666
7,0.81583333,0.542692007496953,0.92233336,0.80466664,0.6451733389496803,0.9126667
8,0.8221667,0.5240433902293443,0.9256667,0.8193333,0.6151611602306366,0.92
9,0.8376667,0.4785586550086737,0.939,0.81866664,0.6122311121225357,0.9173333
10,0.8435,0.4536760720983148,0.94416666,0.8106667,0.6022333651781082,0.922
11,0.85616666,0.4225901198014617,0.9455,0.8293333,0.608656262755394,0.9266667
12,0.8668333,0.3874126220867038,0.9575,0.802,0.6146412974596024,0.91933334
13,0.8693333,0.38808370996266606,0.952,0.84,0.5579363015294075,0.93
14,0.886,0.35271763648837806,0.9571667,0.804,0.5931107214093209,0.9213333
15,0.88533336,0.3363995341397822,0.9595,0.824,0.7078847599029541,0.9213333
16,0.8936667,0.32078542817384004,0.96533334,0.818,0.6277085891366005,0.92866665
17,0.90283334,0.29969710869714616,0.9686667,0.81266665,0.6937822368741036,0.922
18,0.90216666,0.2891697431728244,0.9688333,0.75266665,0.7505823308229447,0.88733333
19,0.91033334,0.28020990277640523,0.97,0.812,0.7218149745464325,0.9206667
