epoch,categorical_accuracy,loss,top_2_categorical_accuracy,val_categorical_accuracy,val_loss,val_top_2_categorical_accuracy
0,0.667,0.9727627092599869,0.8208333,0.756,0.765914779305458,0.8753333
1,0.74083334,0.7564842450618744,0.8771667,0.79066664,0.6280797970294952,0.9066667
2,0.78833336,0.6385841377824545,0.89883333,0.81133336,0.5825592628121377,0.9166667
3,0.8225,0.5332789728790521,0.9265,0.814,0.5647611588239669,0.926
4,0.845,0.44768165033310653,0.93916667,0.83066666,0.5352613341808319,0.932
5,0.8663333,0.3952574857324362,0.95516664,0.8373333,0.5305987456440926,0.9346667
6,0.882,0.34331279873847964,0.96066666,0.8473333,0.5174532157182693,0.936
7,0.9035,0.28645370848476887,0.9691667,0.844,0.5188586914539337,0.9406667
8,0.913,0.24601726004853844,0.9745,0.84066665,0.5467438051104545,0.938
9,0.92216665,0.22360871305689214,0.979,0.84066665,0.5466935323178768,0.94
10,0.935,0.19631153518799693,0.98366666,0.85066664,0.5566947990655899,0.9406667
11,0.947,0.15985859785228967,0.98433334,0.8433333,0.5715609556436538,0.93733335
12,0.9495,0.14683379580266773,0.9881667,0.85,0.5801933531463146,0.94733334
13,0.95683336,0.13286228628829122,0.9916667,0.8526667,0.58661824837327,0.9433333
14,0.9595,0.11697689614025876,0.991,0.8473333,0.5910906340181827,0.9433333
15,0.96966666,0.09106038719182834,0.995,0.858,0.6003486382961273,0.944
16,0.96716666,0.09911522855749354,0.995,0.85933334,0.6176683762669564,0.942
17,0.9745,0.07570200946414843,0.99633336,0.86266667,0.6115887770056725,0.944
18,0.9705,0.0823009799956344,0.995,0.85733336,0.6330823190510273,0.9433333
19,0.97316664,0.07734057581867092,0.9946667,0.84866667,0.6238038170337677,0.9406667
